epoch,lr-AdamW,step,test_acc,test_loss,train_acc_epoch,train_acc_step,train_loss_epoch,train_loss_step,val_acc,val_loss
,0.0003,0,,,,,,,,
0,,49,,,,0.2890625,,2.0470409393310547,,
0,,99,,,,0.265625,,2.0032577514648438,,
0,,149,,,,0.375,,1.91511070728302,,
0,,199,,,,0.375,,1.9262056350708008,,
0,,249,,,,0.359375,,1.8644688129425049,,
0,,299,,,,0.3125,,1.9053293466567993,,
0,,349,,,,0.3046875,,1.861202597618103,,
0,,351,,,,,,,0.37279999256134033,1.837643027305603
0,,351,,,0.31273332238197327,,1.9633601903915405,,,
,0.0002926829491861254,352,,,,,,,,
1,,399,,,,0.40625,,1.7975057363510132,,
1,,449,,,,0.3671875,,1.8649009466171265,,
1,,499,,,,0.328125,,1.7382991313934326,,
1,,549,,,,0.375,,1.769341230392456,,
1,,599,,,,0.421875,,1.785857081413269,,
1,,649,,,,0.4140625,,1.718300223350525,,
1,,699,,,,0.421875,,1.666900634765625,,
1,,703,,,,,,,0.43479999899864197,1.712121844291687
1,,703,,,0.397599995136261,,1.782253623008728,,,
,0.0002714480406590546,704,,,,,,,,
2,,749,,,,0.34375,,1.8359713554382324,,
2,,799,,,,0.5078125,,1.666980266571045,,
2,,849,,,,0.359375,,1.8219228982925415,,
2,,899,,,,0.421875,,1.6587296724319458,,
2,,949,,,,0.484375,,1.5814571380615234,,
2,,999,,,,0.46875,,1.595583438873291,,
2,,1049,,,,0.5,,1.6338192224502563,,
2,,1055,,,,,,,0.48179998993873596,1.6272563934326172
2,,1055,,,0.45402222871780396,,1.6718783378601074,,,
,0.0002383738952177247,1056,,,,,,,,
3,,1099,,,,0.4609375,,1.6325695514678955,,
3,,1149,,,,0.4375,,1.605725646018982,,
3,,1199,,,,0.4765625,,1.5466749668121338,,
3,,1249,,,,0.5078125,,1.537122368812561,,
3,,1299,,,,0.4765625,,1.5480992794036865,,
3,,1349,,,,0.53125,,1.5385751724243164,,
3,,1399,,,,0.5546875,,1.5422639846801758,,
3,,1407,,,,,,,0.5174000263214111,1.5641424655914307
3,,1407,,,0.49222221970558167,,1.5960805416107178,,,
,0.0001966980406590546,1408,,,,,,,,
4,,1449,,,,0.4765625,,1.5733013153076172,,
4,,1499,,,,0.5234375,,1.5155062675476074,,
4,,1549,,,,0.546875,,1.5414626598358154,,
4,,1599,,,,0.4921875,,1.541113018989563,,
4,,1649,,,,0.4921875,,1.5686302185058594,,
4,,1699,,,,0.515625,,1.5688725709915161,,
4,,1749,,,,0.5390625,,1.5321459770202637,,
4,,1759,,,,,,,0.5315999984741211,1.5115987062454224
4,,1759,,,0.5246666669845581,,1.5345807075500488,,,
,0.00015049999999999997,1760,,,,,,,,
5,,1799,,,,0.5390625,,1.5022509098052979,,
5,,1849,,,,0.5078125,,1.5364012718200684,,
5,,1899,,,,0.4765625,,1.505489706993103,,
5,,1949,,,,0.5703125,,1.4094291925430298,,
5,,1999,,,,0.5390625,,1.484980821609497,,
5,,2049,,,,0.5625,,1.4525808095932007,,
5,,2099,,,,0.484375,,1.5348304510116577,,
5,,2111,,,,,,,0.5508000254631042,1.4604921340942383
5,,2111,,,0.5457333326339722,,1.4830336570739746,,,
,0.00010430195934094535,2112,,,,,,,,
6,,2149,,,,0.671875,,1.2701618671417236,,
6,,2199,,,,0.484375,,1.5667755603790283,,
6,,2249,,,,0.6015625,,1.3932607173919678,,
6,,2299,,,,0.4765625,,1.6095576286315918,,
6,,2349,,,,0.546875,,1.4594483375549316,,
6,,2399,,,,0.6328125,,1.3507343530654907,,
6,,2449,,,,0.5390625,,1.5396058559417725,,
6,,2463,,,,,,,0.5807999968528748,1.4145859479904175
6,,2463,,,0.5704444646835327,,1.434828519821167,,,
,6.262610478227527e-05,2464,,,,,,,,
7,,2499,,,,0.5859375,,1.447036623954773,,
7,,2549,,,,0.6796875,,1.3650695085525513,,
7,,2599,,,,0.5078125,,1.5536091327667236,,
7,,2649,,,,0.6328125,,1.2947595119476318,,
7,,2699,,,,0.640625,,1.2770394086837769,,
7,,2749,,,,0.515625,,1.413893222808838,,
7,,2799,,,,0.5390625,,1.470616102218628,,
7,,2815,,,,,,,0.5947999954223633,1.3861021995544434
7,,2815,,,0.5871111154556274,,1.400557041168213,,,
,2.955195934094537e-05,2816,,,,,,,,
8,,2849,,,,0.578125,,1.4344874620437622,,
8,,2899,,,,0.640625,,1.307011604309082,,
8,,2949,,,,0.5703125,,1.4266972541809082,,
8,,2999,,,,0.5234375,,1.5128097534179688,,
8,,3049,,,,0.6171875,,1.3761438131332397,,
8,,3099,,,,0.5859375,,1.3811793327331543,,
8,,3149,,,,0.6015625,,1.3258122205734253,,
8,,3167,,,,,,,0.5950000286102295,1.3703651428222656
8,,3167,,,0.600600004196167,,1.3744487762451172,,,
,8.317050813874547e-06,3168,,,,,,,,
9,,3199,,,,0.609375,,1.3250548839569092,,
9,,3249,,,,0.609375,,1.4293301105499268,,
9,,3299,,,,0.5859375,,1.3671605587005615,,
9,,3349,,,,0.65625,,1.3207409381866455,,
9,,3399,,,,0.6171875,,1.2844047546386719,,
9,,3449,,,,0.53125,,1.4956378936767578,,
9,,3499,,,,0.546875,,1.4554386138916016,,
9,,3519,,,,,,,0.6061999797821045,1.3631155490875244
9,,3519,,,0.6065333485603333,,1.362650990486145,,,
,0.0003,3520,,,,,,,,
10,,3549,,,,0.5546875,,1.4321988821029663,,
10,,3599,,,,0.5859375,,1.344189167022705,,
10,,3649,,,,0.5078125,,1.592423915863037,,
10,,3699,,,,0.5390625,,1.4749805927276611,,
10,,3749,,,,0.5625,,1.3925182819366455,,
10,,3799,,,,0.609375,,1.3497329950332642,,
10,,3849,,,,0.5078125,,1.4738099575042725,,
10,,3871,,,,,,,0.5649999976158142,1.447218656539917
10,,3871,,,0.5627999901771545,,1.4509841203689575,,,
,0.00029815940691897306,3872,,,,,,,,
11,,3899,,,,0.578125,,1.4066429138183594,,
11,,3949,,,,0.546875,,1.549568772315979,,
11,,3999,,,,0.609375,,1.3721961975097656,,
11,,4049,,,,0.484375,,1.5526001453399658,,
11,,4099,,,,0.625,,1.492078423500061,,
11,,4149,,,,0.59375,,1.3505887985229492,,
11,,4199,,,,0.609375,,1.3733501434326172,,
11,,4223,,,,,,,0.5717999935150146,1.422133207321167
11,,4223,,,0.5766444206237793,,1.4284815788269043,,,
,0.0002926829491861254,4224,,,,,,,,
12,,4249,,,,0.5625,,1.4362876415252686,,
12,,4299,,,,0.5703125,,1.4586639404296875,,
12,,4349,,,,0.4921875,,1.5308864116668701,,
12,,4399,,,,0.5234375,,1.554358720779419,,
12,,4449,,,,0.640625,,1.3370016813278198,,
12,,4499,,,,0.4921875,,1.6286622285842896,,
12,,4549,,,,0.546875,,1.4407044649124146,,
12,,4575,,,,,,,0.590399980545044,1.3783495426177979
12,,4575,,,0.5860666632652283,,1.404815673828125,,,
,0.00028370547536616097,4576,,,,,,,,
13,,4599,,,,0.5546875,,1.4635497331619263,,
13,,4649,,,,0.6171875,,1.318122148513794,,
13,,4699,,,,0.5234375,,1.4722707271575928,,
13,,4749,,,,0.640625,,1.3006700277328491,,
13,,4799,,,,0.6328125,,1.3912209272384644,,
13,,4849,,,,0.484375,,1.4640740156173706,,
13,,4899,,,,0.609375,,1.3304064273834229,,
13,,4927,,,,,,,0.6086000204086304,1.3507139682769775
13,,4927,,,0.5996222496032715,,1.374186396598816,,,
,0.0002714480406590546,4928,,,,,,,,
14,,4949,,,,0.640625,,1.2869435548782349,,
14,,4999,,,,0.609375,,1.294249415397644,,
14,,5049,,,,0.609375,,1.328454613685608,,
14,,5099,,,,0.546875,,1.5137810707092285,,
14,,5149,,,,0.59375,,1.4041932821273804,,
14,,5199,,,,0.6015625,,1.3624783754348755,,
14,,5249,,,,0.5703125,,1.3906280994415283,,
14,,5279,,,,,,,0.6197999715805054,1.3405269384384155
14,,5279,,,0.6116222143173218,,1.3507559299468994,,,
,0.00025621246378738883,5280,,,,,,,,
15,,5299,,,,0.625,,1.343384027481079,,
15,,5349,,,,0.578125,,1.3382065296173096,,
